Borough,id
Barking and Dagenham,4848
Barnet,12001
Bexley,6410
Brent,9436
Bromley,10652
Camden,20574
City of London,10862
Croydon,10958
Ealing,11211
Enfield,8800
Greenwich,7668
Hackney,12379
Hammersmith and Fulham,8885
Haringey,8083
Harrow,6795
Havering,7591
Hillingdon,9434
Hounslow,8406
Islington,14459
Kensington and Chelsea,10463
Kingston upon Thames,6015
Lambeth,11217
Lewisham,7477
Merton,7040
Newham,10009
Redbridge,7717
Richmond upon Thames,7681
Southwark,13027
Sutton,6086
Tower Hamlets,14295
Unknown,2173800
Waltham Forest,8037
Wandsworth,10787
Westminster,38079
